DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
506,Scofield,Utah,BOR,-111.12828,39.788265,1972-10-01,2021-01-27,NA
507,Rifle Gap,Colorado,BOR,-107.759375,39.628571,1974-10-30,2021-01-28,NA
508,Marston Lake North Dam,Colorado,DENW,-105.057908,39.624824,1987-08-01,2020-07-26,NA
509,Dillon,Colorado,DENW,-106.060416,39.61875,1989-04-01,2020-07-22,NA
511,Chatfield Dam,Colorado,ACE_OMA,-105.05625,39.55497,1975-06-02,2019-10-01,NA
514,Lahontan,Nevada,BOR_PN,-119.06875,39.460352,1980-01-01,2020-12-31,NA
517,Ruedi,Colorado,BOR ,-106.814496,39.364977,1969-04-01,2021-01-27,NA
518,Joes Valley,Utah,BOR,-111.272992,39.289893,1970-10-01,2021-01-27,NA
519,Sugar Loaf,Colorado,BOR ,-106.371408,39.253663,2010-01-01,2018-12-18,NA
521,Vega,Colorado,BOR,-107.809638,39.222856,1974-10-24,2018-12-18,NA
522,Cheesman,Colorado,DENW,-105.273882,39.210039,1956-10-01,2020-07-29,NA
524,Marlette Lake Dam,Nevada,BOR_PN,-119.90502,39.173654,1980-01-01,2018-09-01,NA
529,Antero,Colorado,DENW,-105.895655,38.989297,1957-05-24,2020-07-29,NA
530,Spinney Mountain,Colorado,AUR,-105.623608,38.97361,1990-01-01,2020-07-28,NA
531,Paonia,Colorado,BOR,-107.350889,38.942351,1974-10-25,2021-01-27,NA
533,Eleven Mile Canyon,Colorado,DENW,-105.478234,38.902254,1997-04-18,2020-07-22,NA
536,Taylor Park,Colorado,BOR ,-106.604289,38.820602,1958-10-01,2021-01-27,NA
537,Crawford,Colorado,BOR,-107.604956,38.68814,1974-10-28,2021-01-27,NA
541,Blue Mesa,Colorado,BOR,-107.333611,38.45367,1965-11-30,2021-01-27,NA
542,Morrow Point,Colorado,BOR,-107.53435,38.451537,1968-03-31,2021-01-27,NA
544,New Spicer Meadow,California,CDEC,-119.997266,38.393724,1992-05-31,2021-01-01,NA
545,Donnells,California,BOR,-119.958792,38.331332,1980-01-01,2020-12-31,NA
546,Bridgeport,California,USGS,-119.212814,38.325225,1980-01-01,2020-12-31,NA
548,Relief,California,CDEC,-119.732871,38.279987,1992-05-31,2020-12-31,NA
549,Silver Jack,Colorado,BOR,-107.540387,38.230238,1973-08-01,2018-12-18,NA
551,Main Strawberry,California,BOR,-119.985074,38.197774,1992-05-31,2020-12-31,NA
554,Cherry Valley,California,CDEC,-119.910579,37.977502,1980-01-01,2020-12-31,NA
555,Lake Eleanor,California,CDEC,-119.880383,37.974799,1980-01-01,2021-01-01,NA
557,O'Shaughnessy,California,CDEC,-119.787927,37.949378,1980-01-01,2020-12-31,NA
567,McPhee,Colorado,BOR,-108.571436,37.578215,1984-03-20,2021-01-27,NA
572,Jackson Gulch,Colorado,BOR,-108.273317,37.399487,1960-01-01,2021-01-27,NA
574,Lemon,Colorado,BOR,-107.659343,37.382549,1963-12-13,2021-01-28,NA
575,Vallecito,Colorado,BOR,-107.572064,37.377799,1941-05-03,2021-01-27,NA
